,summoner_name,league_points,puuid
0,GrandVice8,1334,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg
1,DeliciousMilkGG,1207,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ
2,Silliest,1113,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ
3,Agon,1096,Mtiy5xQq2B08E8UKrWt_AcHemRq40W5xJQKfC6wIONGMCJHXRQ380TPlx115FKjSDG3xWsKBPrk-8g
4,Krmx,1087,VJQMuXGE5493waSe6PFxLrn2zPrQfMAi7ZDTBMwU7rXt3rlGuaqkTRd-RD2eujFNxpE1LBNjYGZ3ug
5,Hiraino,1070,vufERsZYvVzZKQzIUtxTyChDrvHePm6UjkOn1FmYTgSU1irJoAM041mpOqtURo15b9mB8P7oJm6owA
6,GG Milk,913,9Hido7hDNW_eDisdXh5TAkyNvU1jIo_rIddx2pfH5ewKH9ICSpn9a9xI5XZqrO1f_dGlnp0QwQiH3A
7,Kiyoon,887,-hf2mVWwWJCDuEIEKDi7qvUxNm3mhCrvSUMbH04jcHM--27_erroAjIfQ05pQWvVJ4rchq_RgkJy3g
8,SleetTFT,881,kMLfIuyq2khqQZFUguhS_L1klxsAY3ykX9XdV2ladjr3mhqPZpbO_YAbF5Riqo9lmApRwUbdrbSfBQ
9,ItzYaBoyBeasty,868,C-jDtFtdwZVxZwHwZ0sBpGEaUjUUCIsxBLqD8mcM91_GlXdnZ8i1hlH3V1sdd_Zuqn1dJmq9Z3c2IA
10,AceofSpadesDAC,817,bcq6htmng0e8fcw7hHAqNz5rHRx5kyzNCb-daI2jT_YsWZHJVk3H8revFpytWyHg2Fgfq_vSSKkcag
11,HiROKKKKJP,794,PR-tTH2hZ3EJ5je8hFBvwWuvb19Fw7jdfjlGwx63rDH-eWl3cPIEvzpTTitVcba7MY37DJ88gWxXkw
12,ttv KitingisHard,758,HvqMCayb_FVK2VAQQmH3lG4RYAoNxSUqSi4lBZqgcMumnVXNMCPzVueDMhv87Ng7icfEOHrNZtXdFw
13,Stalins Son,758,TRGX_CKmX4fYe3cfBXBKfYrO3JgjFDzJOtkNrECULtewSunsjnBujcf0f18m6KZzGfLWNdQr_7-Gog
14,Twitch RayditzFN,747,z5x-i1hcfcYRKVvIeCBcc3hI4r_HjD3hxDSx84yiYI7vJxdbXGRx5qC4i9evWTvJBdVGo8xZZ2LQcg
